@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
205,'2020/01/11 13:40:26:330',1,229.5,265.494781,1
206,'2020/01/11 13:40:26:340',1,229.0625,266.505188,1
207,'2020/01/11 13:40:26:350',1,228.625,268.526062,1
208,'2020/01/11 13:40:26:360',1,227.75,269.536438,1
209,'2020/01/11 13:40:26:371',1,227.3125,271.052063,1
210,'2020/01/11 13:40:26:381',1,226.875,272.567688,1
211,'2020/01/11 13:40:26:391',1,226,273.578125,1
212,'2020/01/11 13:40:26:402',1,226,275.09375,1
213,'2020/01/11 13:40:26:412',1,224.6875,276.609375,1
214,'2020/01/11 13:40:26:422',1,223.375,277.619812,1
215,'2020/01/11 13:40:26:433',1,222.9375,279.135437,1
216,'2020/01/11 13:40:26:443',1,222.5,280.651062,1
217,'2020/01/11 13:40:26:453',1,221.625,282.166687,1
218,'2020/01/11 13:40:26:463',1,221.1875,283.177063,1
219,'2020/01/11 13:40:26:474',1,220.3125,284.1875,1
220,'2020/01/11 13:40:26:484',1,219.4375,285.197937,1
221,'2020/01/11 13:40:26:494',1,219,285.703125,1
222,'2020/01/11 13:40:26:505',1,218.5625,286.713562,1
223,'2020/01/11 13:40:26:515',1,216.375,287.21875,1
224,'2020/01/11 13:40:26:525',1,215.0625,287.21875,1
225,'2020/01/11 13:40:26:535',1,214.1875,287.723938,1
226,'2020/01/11 13:40:26:546',1,523.5,288.229187,1
227,'2020/01/11 13:40:26:556',1,211.125,289.744812,1
228,'2020/01/11 13:40:26:566',1,211.125,289.744812,1
229,'2020/01/11 13:40:26:576',1,211.125,290.755188,1
230,'2020/01/11 13:40:26:587',1,210.6875,292.270813,1
231,'2020/01/11 13:40:26:597',1,209.8125,293.786438,1
232,'2020/01/11 13:40:26:607',1,208.0625,297.322937,1
233,'2020/01/11 13:40:26:618',1,207.1875,298.838562,1
234,'2020/01/11 13:40:26:628',1,207.1875,298.838562,1
235,'2020/01/11 13:40:26:638',1,205,300.354187,1
236,'2020/01/11 13:40:26:649',1,203.6875,302.375,1
237,'2020/01/11 13:40:26:659',1,523.9375,304.395813,1
238,'2020/01/11 13:40:26:669',1,198.875,308.4375,1
239,'2020/01/11 13:40:26:680',1,197.5625,311.46875,1
240,'2020/01/11 13:40:26:690',1,196.6875,315.005188,1
241,'2020/01/11 13:40:26:700',1,195.8125,318.036438,1
242,'2020/01/11 13:40:26:711',1,194.5,320.5625,1
243,'2020/01/11 13:40:26:721',1,193.625,323.088562,1
244,'2020/01/11 13:40:26:731',1,191.875,324.604187,1
245,'2020/01/11 13:40:26:741',1,190.125,326.119812,1
246,'2020/01/11 13:40:26:752',1,188.375,327.635437,1
247,'2020/01/11 13:40:26:762',1,186.1875,328.140625,1
248,'2020/01/11 13:40:26:772',1,185.3125,328.645813,1
249,'2020/01/11 13:40:26:782',1,184,329.151062,1
250,'2020/01/11 13:40:26:793',1,183.125,329.65625,1
251,'2020/01/11 13:40:26:803',1,182.6875,329.65625,1
252,'2020/01/11 13:40:26:813',1,182.6875,329.65625,1
253,'2020/01/11 13:40:26:823',1,182.6875,329.151062,1
254,'2020/01/11 13:40:26:834',1,182.6875,329.151062,1
255,'2020/01/11 13:40:26:844',1,182.25,329.151062,1
256,'2020/01/11 13:40:26:854',1,181.375,328.645813,1
257,'2020/01/11 13:40:26:865',1,180.0625,328.140625,1
258,'2020/01/11 13:40:26:875',1,179.1875,328.140625,1
259,'2020/01/11 13:40:26:885',1,178.75,328.140625,1
260,'2020/01/11 13:40:26:895',1,177,327.635437,1
261,'2020/01/11 13:40:26:906',1,176.5625,327.130188,1
262,'2020/01/11 13:40:26:916',1,176.125,326.119812,1
263,'2020/01/11 13:40:26:927',1,175.6875,325.109375,1
264,'2020/01/11 13:40:26:937',1,175.6875,324.604187,1
265,'2020/01/11 13:40:26:948',1,175.6875,324.098938,1
266,'2020/01/11 13:40:26:958',1,175.25,323.59375,1
267,'2020/01/11 13:40:26:968',1,174.375,322.583313,1
268,'2020/01/11 13:40:26:979',1,173.9375,321.572937,1
269,'2020/01/11 13:40:26:989',1,173.5,320.5625,1
270,'2020/01/11 13:40:26:999',1,172.625,320.057312,1
271,'2020/01/11 13:40:27:010',1,171.75,319.552063,1
272,'2020/01/11 13:40:27:020',1,170.4375,318.036438,1
273,'2020/01/11 13:40:27:030',1,169.5625,316.015625,1
274,'2020/01/11 13:40:27:040',1,169.5625,316.015625,1
275,'2020/01/11 13:40:27:051',1,169.125,314.5,1
276,'2020/01/11 13:40:27:061',1,169.125,313.489563,1
277,'2020/01/11 13:40:27:072',1,169.125,311.973938,1
278,'2020/01/11 13:40:27:082',1,169.5625,311.973938,1
279,'2020/01/11 13:40:27:092',1,169.125,308.4375,1
280,'2020/01/11 13:40:27:102',1,169.125,307.427063,1
281,'2020/01/11 13:40:27:113',1,168.25,305.40625,1
282,'2020/01/11 13:40:27:123',1,168.6875,303.890625,1
283,'2020/01/11 13:40:27:133',1,167.8125,302.375,1
284,'2020/01/11 13:40:27:144',1,167.8125,300.354187,1
285,'2020/01/11 13:40:27:154',1,168.6875,299.848938,1
286,'2020/01/11 13:40:27:164',1,168.6875,298.838562,1
287,'2020/01/11 13:40:27:175',1,169.125,297.322937,1
288,'2020/01/11 13:40:27:185',1,169.125,296.3125,1
289,'2020/01/11 13:40:27:195',1,169.125,295.807312,1
290,'2020/01/11 13:40:27:205',1,169.5625,294.796875,1
291,'2020/01/11 13:40:27:216',1,168.6875,293.786438,1
292,'2020/01/11 13:40:27:226',1,168.6875,292.270813,1
