@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
15159,'2020/01/11 01:54:53:553',7,331,191.734375,1
15160,'2020/01/11 01:54:53:564',7,331.875,191.229156,1
15161,'2020/01/11 01:54:53:574',7,332.75,190.21875,1
15162,'2020/01/11 01:54:53:585',7,333.1875,189.208344,1
15163,'2020/01/11 01:54:53:596',7,333.625,188.197906,1
15164,'2020/01/11 01:54:53:606',7,334.5,187.1875,1
15165,'2020/01/11 01:54:53:617',7,334.5,186.682281,1
15166,'2020/01/11 01:54:53:627',7,334.9375,185.671875,1
15167,'2020/01/11 01:54:53:638',7,335.375,183.145844,1
15168,'2020/01/11 01:54:53:648',7,335.375,183.145844,1
15169,'2020/01/11 01:54:53:659',7,336.25,181.630219,1
15170,'2020/01/11 01:54:53:669',7,337.125,180.619781,1
15171,'2020/01/11 01:54:53:679',7,338.875,179.609375,1
15172,'2020/01/11 01:54:53:690',7,341.5,178.598969,1
15173,'2020/01/11 01:54:53:700',7,342.375,178.09375,1
15174,'2020/01/11 01:54:53:711',7,342.8125,177.588531,1
15175,'2020/01/11 01:54:53:721',7,343.25,177.083344,1
15176,'2020/01/11 01:54:53:731',7,343.25,177.083344,1
15177,'2020/01/11 01:54:53:741',7,343.6875,176.578125,1
15178,'2020/01/11 01:54:53:752',7,343.6875,176.578125,1
15179,'2020/01/11 01:54:53:763',7,344.125,176.578125,1
15180,'2020/01/11 01:54:53:773',7,345,176.578125,1
15181,'2020/01/11 01:54:53:783',7,346.3125,176.578125,1
15182,'2020/01/11 01:54:53:794',7,346.75,176.578125,1
15183,'2020/01/11 01:54:53:804',7,346.75,176.578125,1
15184,'2020/01/11 01:54:53:814',7,347.1875,176.578125,1
15185,'2020/01/11 01:54:53:825',7,347.1875,176.072906,1
15186,'2020/01/11 01:54:53:835',7,347.1875,176.072906,1
15187,'2020/01/11 01:54:53:846',7,347.625,176.072906,1
15188,'2020/01/11 01:54:53:856',7,348.0625,176.072906,1
15189,'2020/01/11 01:54:53:866',7,348.5,176.578125,1
15190,'2020/01/11 01:54:53:877',7,348.9375,177.083344,1
15191,'2020/01/11 01:54:53:887',7,349.375,178.09375,1
15192,'2020/01/11 01:54:53:898',7,349.375,178.598969,1
15193,'2020/01/11 01:54:53:908',7,349.8125,179.609375,1
15194,'2020/01/11 01:54:53:918',7,350.25,180.619781,1
15195,'2020/01/11 01:54:53:929',7,349.8125,181.630219,1
15196,'2020/01/11 01:54:53:939',7,349.375,182.640625,1
15197,'2020/01/11 01:54:53:950',7,348.9375,183.145844,1
15198,'2020/01/11 01:54:53:960',7,348.9375,183.651031,1
15199,'2020/01/11 01:54:53:971',7,348.5,184.15625,1
15200,'2020/01/11 01:54:53:981',7,347.625,185.671875,1
15201,'2020/01/11 01:54:53:992',7,347.625,186.177094,1
15202,'2020/01/11 01:54:54:002',7,347.625,186.682281,1
15203,'2020/01/11 01:54:54:012',7,523.5,72,1
15204,'2020/01/11 01:54:54:023',7,347.1875,187.1875,1
15205,'2020/01/11 01:54:54:033',7,347.1875,187.692719,1
