@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
354,'2020/01/12 17:33:52:349',1,347.625,234.677094,1
355,'2020/01/12 17:33:52:359',1,349.8125,231.140625,1
356,'2020/01/12 17:33:52:370',1,351.125,227.098969,1
357,'2020/01/12 17:33:52:380',1,352.875,223.057281,1
358,'2020/01/12 17:33:52:390',1,354.1875,219.015625,1
359,'2020/01/12 17:33:52:401',1,354.625,214.973969,1
360,'2020/01/12 17:33:52:411',1,354.625,210.932281,1
361,'2020/01/12 17:33:52:422',1,354.1875,207.395844,1
362,'2020/01/12 17:33:52:432',1,354.1875,203.354156,1
363,'2020/01/12 17:33:52:443',1,353.75,199.817719,1
364,'2020/01/12 17:33:52:453',1,353.75,196.28125,1
365,'2020/01/12 17:33:52:464',1,354.1875,192.744781,1
366,'2020/01/12 17:33:52:474',1,354.1875,188.703125,1
367,'2020/01/12 17:33:52:484',1,353.75,184.661469,1
368,'2020/01/12 17:33:52:495',1,352.4375,180.114594,1
369,'2020/01/12 17:33:52:506',1,350.6875,176.578125,1
370,'2020/01/12 17:33:52:516',1,347.625,173.041656,1
371,'2020/01/12 17:33:52:526',1,340.1875,166.473953,1
372,'2020/01/12 17:33:52:536',1,337.125,163.442703,1
373,'2020/01/12 17:33:52:547',1,334.5,161.421875,1
374,'2020/01/12 17:33:52:557',1,334.5,161.421875,1
375,'2020/01/12 17:33:52:567',1,331.875,157.380203,1
376,'2020/01/12 17:33:52:578',1,330.5625,154.854172,1
377,'2020/01/12 17:33:52:588',1,330.5625,152.328125,1
378,'2020/01/12 17:33:52:598',1,328.8125,149.296875,1
379,'2020/01/12 17:33:52:609',1,326.625,146.265625,1
380,'2020/01/12 17:33:52:619',1,324,143.739578,1
381,'2020/01/12 17:33:52:629',1,324,143.739578,1
382,'2020/01/12 17:33:52:640',1,525.25,141.213547,1
383,'2020/01/12 17:33:52:650',1,314.8125,136.161453,1
384,'2020/01/12 17:33:52:660',1,312.1875,134.645828,1
385,'2020/01/12 17:33:52:671',1,308.6875,133.130203,1
386,'2020/01/12 17:33:52:681',1,303.875,130.098953,1
387,'2020/01/12 17:33:52:692',1,300.375,128.583328,1
388,'2020/01/12 17:33:52:702',1,297.3125,127.067703,1
389,'2020/01/12 17:33:52:712',1,293.8125,125.552078,1
390,'2020/01/12 17:33:52:723',1,290.3125,123.53125,1
391,'2020/01/12 17:33:52:733',1,286.375,122.520828,1
392,'2020/01/12 17:33:52:743',1,282,122.015625,1
393,'2020/01/12 17:33:52:754',1,277.625,122.015625,1
394,'2020/01/12 17:33:52:764',1,272.8125,122.520828,1
395,'2020/01/12 17:33:52:775',1,268,123.53125,1
396,'2020/01/12 17:33:52:785',1,263.1875,126.057297,1
397,'2020/01/12 17:33:52:795',1,257.9375,127.572922,1
398,'2020/01/12 17:33:52:806',1,253.125,130.098953,1
399,'2020/01/12 17:33:52:816',1,247.4375,131.614578,1
400,'2020/01/12 17:33:52:826',1,247.4375,131.614578,1
401,'2020/01/12 17:33:52:837',1,243.0625,134.140625,1
402,'2020/01/12 17:33:52:847',1,238.6875,135.65625,1
403,'2020/01/12 17:33:52:858',1,233,141.213547,1
404,'2020/01/12 17:33:52:868',1,229.5,144.244797,1
405,'2020/01/12 17:33:52:879',1,226.4375,148.286453,1
406,'2020/01/12 17:33:52:889',1,223.375,154.348953,1
407,'2020/01/12 17:33:52:899',1,218.5625,159.401047,1
408,'2020/01/12 17:33:52:910',1,215.0625,166.473953,1
409,'2020/01/12 17:33:52:920',1,206.75,176.072906,1
410,'2020/01/12 17:33:52:930',1,203.6875,180.114594,1
411,'2020/01/12 17:33:52:941',1,200.625,184.661469,1
412,'2020/01/12 17:33:52:951',1,199.3125,189.208344,1
413,'2020/01/12 17:33:52:962',1,199.75,194.765625,1
414,'2020/01/12 17:33:52:972',1,200.1875,199.817719,1
415,'2020/01/12 17:33:52:982',1,201.5,205.375,1
416,'2020/01/12 17:33:52:993',1,203.6875,211.4375,1
417,'2020/01/12 17:33:53:003',1,206.75,218.510406,1
418,'2020/01/12 17:33:53:014',1,209.375,224.067719,1
419,'2020/01/12 17:33:53:024',1,210.6875,228.109375,1
420,'2020/01/12 17:33:53:034',1,213.3125,231.645844,1
421,'2020/01/12 17:33:53:044',1,215.0625,234.677094,1
422,'2020/01/12 17:33:53:055',1,217.25,236.697906,1
423,'2020/01/12 17:33:53:065',1,220.75,239.223969,1
424,'2020/01/12 17:33:53:076',1,224.6875,241.244781,1
425,'2020/01/12 17:33:53:086',1,229.5,243.265625,1
426,'2020/01/12 17:33:53:096',1,234.3125,244.78125,1
427,'2020/01/12 17:33:53:107',1,239.5625,246.802094,1
428,'2020/01/12 17:33:53:117',1,245.25,249.328125,1
429,'2020/01/12 17:33:53:128',1,253.125,251.854156,1
430,'2020/01/12 17:33:53:138',1,258.8125,252.864594,1
